action,component_id,component_kind,contingency_id,source_record
OPEN BRANCH FROM BUS     10 TO BUS    349 CIRCUIT 1,branch_10_349_1,branch,L_000010CHAPPELLS20-000349CHAPPELLS10C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     10 TO BUS    349 CIRCUIT 1
OPEN BRANCH FROM BUS     12 TO BUS    216 CIRCUIT 1,branch_12_216_1,branch,L_000012PELZER0-000216BELTON10C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     12 TO BUS    216 CIRCUIT 1
OPEN BRANCH FROM BUS     12 TO BUS    304 CIRCUIT 1,branch_12_304_1,branch,L_000012PELZER0-000304PIEDMONT0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     12 TO BUS    304 CIRCUIT 1
OPEN BRANCH FROM BUS     12 TO BUS    441 CIRCUIT 1,branch_12_441_1,branch,L_000012PELZER0-000441WILLIAMSTON11C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     12 TO BUS    441 CIRCUIT 1
OPEN BRANCH FROM BUS     15 TO BUS     91 CIRCUIT 1,branch_15_91_1,branch,L_000015SENECA31-000091SENECA20C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     15 TO BUS     91 CIRCUIT 1
OPEN BRANCH FROM BUS     15 TO BUS    230 CIRCUIT 1,branch_15_230_1,branch,L_000015SENECA31-000230WESTMINSTER10C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     15 TO BUS    230 CIRCUIT 1
OPEN BRANCH FROM BUS     15 TO BUS    369 CIRCUIT 1,branch_15_369_1,branch,L_000015SENECA31-000369SENECA10C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     15 TO BUS    369 CIRCUIT 1
OPEN BRANCH FROM BUS     15 TO BUS    473 CIRCUIT 1,branch_15_473_1,branch,L_000015SENECA31-000473LONGCREEK0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     15 TO BUS    473 CIRCUIT 1
OPEN BRANCH FROM BUS     19 TO BUS    112 CIRCUIT 1,branch_19_112_1,branch,L_000019MONETTA0-000112LEESVILLE0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     19 TO BUS    112 CIRCUIT 1
OPEN BRANCH FROM BUS     19 TO BUS    272 CIRCUIT 1,branch_19_272_1,branch,L_000019MONETTA0-000272RIDGESPRING1C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     19 TO BUS    272 CIRCUIT 1
OPEN BRANCH FROM BUS     21 TO BUS    112 CIRCUIT 1,branch_21_112_1,branch,L_000021LEXINGTON20-000112LEESVILLE0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     21 TO BUS    112 CIRCUIT 1
OPEN BRANCH FROM BUS     21 TO BUS    196 CIRCUIT 1,branch_21_196_1,branch,L_000021LEXINGTON20-000196COLUMBIA81C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     21 TO BUS    196 CIRCUIT 1
OPEN BRANCH FROM BUS     23 TO BUS    386 CIRCUIT 1,branch_23_386_1,branch,L_000023WELLFORD0-000386CLEMSON0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     23 TO BUS    386 CIRCUIT 1
OPEN BRANCH FROM BUS     23 TO BUS    464 CIRCUIT 1,branch_23_464_1,branch,L_000023WELLFORD0-000464JONESVILLE0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     23 TO BUS    464 CIRCUIT 1
OPEN BRANCH FROM BUS     23 TO BUS    471 CIRCUIT 1,branch_23_471_1,branch,L_000023WELLFORD0-000471SPARTANBURG20C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     23 TO BUS    471 CIRCUIT 1
OPEN BRANCH FROM BUS     24 TO BUS    360 CIRCUIT 1,branch_24_360_1,branch,L_000024WELLFORD1-000360SPARTANBURG30C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     24 TO BUS    360 CIRCUIT 1
OPEN BRANCH FROM BUS     27 TO BUS     68 CIRCUIT 1,branch_27_68_1,branch,L_000027LAURENS0-000068ENOREE0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     27 TO BUS     68 CIRCUIT 1
OPEN BRANCH FROM BUS     27 TO BUS    382 CIRCUIT 1,branch_27_382_1,branch,L_000027LAURENS0-000382GRAYCOURT0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     27 TO BUS    382 CIRCUIT 1
OPEN BRANCH FROM BUS     29 TO BUS    491 CIRCUIT 1,branch_29_491_1,branch,L_000029COLUMBIA100-000491COLUMBIA10C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     29 TO BUS    491 CIRCUIT 1
OPEN BRANCH FROM BUS     31 TO BUS     85 CIRCUIT 1,branch_31_85_1,branch,L_000031WINDSOR0-000085AIKEN30C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     31 TO BUS     85 CIRCUIT 1
OPEN BRANCH FROM BUS     31 TO BUS    189 CIRCUIT 1,branch_31_189_1,branch,L_000031WINDSOR0-000189WAGENER0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     31 TO BUS    189 CIRCUIT 1
OPEN BRANCH FROM BUS     31 TO BUS    205 CIRCUIT 1,branch_31_205_1,branch,L_000031WINDSOR0-000205WARRENVILLE0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     31 TO BUS    205 CIRCUIT 1
OPEN BRANCH FROM BUS     31 TO BUS    218 CIRCUIT 1,branch_31_218_1,branch,L_000031WINDSOR0-000218VAUCLUSE0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     31 TO BUS    218 CIRCUIT 1
OPEN BRANCH FROM BUS     35 TO BUS    399 CIRCUIT 1,branch_35_399_1,branch,L_000035NORTHAUGUSTA20-000399BEECHISLAND20C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     35 TO BUS    399 CIRCUIT 1
OPEN BRANCH FROM BUS     39 TO BUS    428 CIRCUIT 1,branch_39_428_1,branch,L_000039GAFFNEY30-000428CHESNEE20C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     39 TO BUS    428 CIRCUIT 1
OPEN BRANCH FROM BUS     40 TO BUS    131 CIRCUIT 1,branch_40_131_1,branch,L_000040GAFFNEY31-000131COWPENS0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     40 TO BUS    131 CIRCUIT 1
OPEN BRANCH FROM BUS     42 TO BUS    191 CIRCUIT 1,branch_42_191_1,branch,L_000042CLARKSHILL20-000191TRENTON0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     42 TO BUS    191 CIRCUIT 1
OPEN BRANCH FROM BUS     44 TO BUS      1 CIRCUIT 1,branch_44_1_1,branch,L_000044JENKINSVILLE0-000001WINNSBORO0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     44 TO BUS      1 CIRCUIT 1
OPEN BRANCH FROM BUS     44 TO BUS    200 CIRCUIT 1,branch_44_200_1,branch,L_000044JENKINSVILLE0-000200LITTLEMOUNTAIN0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     44 TO BUS    200 CIRCUIT 1
OPEN BRANCH FROM BUS     46 TO BUS    156 CIRCUIT 1,branch_46_156_1,branch,L_000046WOODRUFF0-000156GREENVILLE50C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     46 TO BUS    156 CIRCUIT 1
OPEN BRANCH FROM BUS     53 TO BUS    276 CIRCUIT 1,branch_53_276_1,branch,L_000053CAYCE0-000276COLUMBIA50C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     53 TO BUS    276 CIRCUIT 1
OPEN BRANCH FROM BUS     55 TO BUS     66 CIRCUIT 1,branch_55_66_1,branch,L_000055TROY0-000066BRADLEY1C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     55 TO BUS     66 CIRCUIT 1
OPEN BRANCH FROM BUS     55 TO BUS    500 CIRCUIT 1,branch_55_500_1,branch,L_000055TROY0-000500MCCORMICK0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     55 TO BUS    500 CIRCUIT 1
OPEN BRANCH FROM BUS     57 TO BUS    123 CIRCUIT 1,branch_57_123_1,branch,L_000057SIMPSONVILLE20-000123SALEM30C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     57 TO BUS    123 CIRCUIT 1
OPEN BRANCH FROM BUS     58 TO BUS    253 CIRCUIT 1,branch_58_253_1,branch,L_000058SIMPSONVILLE21-000253GREENVILLE40C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     58 TO BUS    253 CIRCUIT 1
OPEN BRANCH FROM BUS     60 TO BUS    131 CIRCUIT 1,branch_60_131_1,branch,L_000060MAYO0-000131COWPENS0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     60 TO BUS    131 CIRCUIT 1
OPEN BRANCH FROM BUS     62 TO BUS      3 CIRCUIT 1,branch_62_3_1,branch,L_000062BELTON20-000003COLUMBIA110C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     62 TO BUS      3 CIRCUIT 1
OPEN BRANCH FROM BUS     62 TO BUS    457 CIRCUIT 1,branch_62_457_1,branch,L_000062BELTON20-000457EASTOVER10C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     62 TO BUS    457 CIRCUIT 1
OPEN BRANCH FROM BUS     66 TO BUS    308 CIRCUIT 1,branch_66_308_1,branch,L_000066BRADLEY1-000308CALHOUNFALLS0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     66 TO BUS    308 CIRCUIT 1
OPEN BRANCH FROM BUS     68 TO BUS    295 CIRCUIT 1,branch_68_295_1,branch,L_000068ENOREE0-000295BUFFALO0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     68 TO BUS    295 CIRCUIT 1
OPEN BRANCH FROM BUS     68 TO BUS    314 CIRCUIT 1,branch_68_314_1,branch,L_000068ENOREE0-000314CROSSANCHOR0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     68 TO BUS    314 CIRCUIT 1
OPEN BRANCH FROM BUS     70 TO BUS    490 CIRCUIT 1,branch_70_490_1,branch,L_000070HONEAPATH20-000490HONEAPATH10C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     70 TO BUS    490 CIRCUIT 1
OPEN BRANCH FROM BUS     74 TO BUS    189 CIRCUIT 1,branch_74_189_1,branch,L_000074SPRINGFIELD0-000189WAGENER0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     74 TO BUS    189 CIRCUIT 1
OPEN BRANCH FROM BUS     78 TO BUS    328 CIRCUIT 1,branch_78_328_1,branch,L_000078NEWRY0-000328PENDLETON0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     78 TO BUS    328 CIRCUIT 1
OPEN BRANCH FROM BUS     78 TO BUS    387 CIRCUIT 1,branch_78_387_1,branch,L_000078NEWRY0-000387CLEMSON1C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     78 TO BUS    387 CIRCUIT 1
OPEN BRANCH FROM BUS     80 TO BUS     65 CIRCUIT 1,branch_80_65_1,branch,L_000080CLARKSHILL10-000065BRADLEY0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     80 TO BUS     65 CIRCUIT 1
OPEN BRANCH FROM BUS     81 TO BUS     42 CIRCUIT 1,branch_81_42_1,branch,L_000081CLARKSHILL11-000042CLARKSHILL20C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     81 TO BUS     42 CIRCUIT 1
OPEN BRANCH FROM BUS     83 TO BUS     33 CIRCUIT 1,branch_83_33_1,branch,L_000083NEWBERRY0-000033PROSPERITY0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     83 TO BUS     33 CIRCUIT 1
OPEN BRANCH FROM BUS     83 TO BUS    342 CIRCUIT 1,branch_83_342_1,branch,L_000083NEWBERRY0-000342SILVERSTREET0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     83 TO BUS    342 CIRCUIT 1
OPEN BRANCH FROM BUS     87 TO BUS    141 CIRCUIT 1,branch_87_141_1,branch,L_000087ROCKHILL30-000141ROCKHILL20C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     87 TO BUS    141 CIRCUIT 1
OPEN BRANCH FROM BUS     87 TO BUS    143 CIRCUIT 1,branch_87_143_1,branch,L_000087ROCKHILL30-000143YORK20C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     87 TO BUS    143 CIRCUIT 1
OPEN BRANCH FROM BUS     89 TO BUS    187 CIRCUIT 1,branch_89_187_1,branch,L_000089CAMERON0-000187ELLOREE0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     89 TO BUS    187 CIRCUIT 1
OPEN BRANCH FROM BUS     89 TO BUS    457 CIRCUIT 1,branch_89_457_1,branch,L_000089CAMERON0-000457EASTOVER10C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     89 TO BUS    457 CIRCUIT 1
OPEN BRANCH FROM BUS     91 TO BUS    133 CIRCUIT 1,branch_91_133_1,branch,L_000091SENECA20-000133WESTMINSTER20C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     91 TO BUS    133 CIRCUIT 1
OPEN BRANCH FROM BUS     95 TO BUS    170 CIRCUIT 1,branch_95_170_1,branch,L_000095WALHALLA0-000170WESTUNION0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     95 TO BUS    170 CIRCUIT 1
OPEN BRANCH FROM BUS     95 TO BUS    369 CIRCUIT 1,branch_95_369_1,branch,L_000095WALHALLA0-000369SENECA10C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     95 TO BUS    369 CIRCUIT 1
OPEN BRANCH FROM BUS     99 TO BUS    465 CIRCUIT 1,branch_99_465_1,branch,L_000099PACOLET0-000465JONESVILLE1C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS     99 TO BUS    465 CIRCUIT 1
OPEN BRANCH FROM BUS    102 TO BUS    308 CIRCUIT 1,branch_102_308_1,branch,L_000102ABBEVILLE0-000308CALHOUNFALLS0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS    102 TO BUS    308 CIRCUIT 1
OPEN BRANCH FROM BUS    104 TO BUS     31 CIRCUIT 1,branch_104_31_1,branch,L_000104AIKEN20-000031WINDSOR0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS    104 TO BUS     31 CIRCUIT 1
OPEN BRANCH FROM BUS    104 TO BUS    191 CIRCUIT 1,branch_104_191_1,branch,L_000104AIKEN20-000191TRENTON0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS    104 TO BUS    191 CIRCUIT 1
OPEN BRANCH FROM BUS    106 TO BUS    191 CIRCUIT 1,branch_106_191_1,branch,L_000106JOHNSTON0-000191TRENTON0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS    106 TO BUS    191 CIRCUIT 1
OPEN BRANCH FROM BUS    108 TO BUS    472 CIRCUIT 1,branch_108_472_1,branch,L_000108SPARTANBURG60-000472SPARTANBURG21C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS    108 TO BUS    472 CIRCUIT 1
OPEN BRANCH FROM BUS    108 TO BUS    495 CIRCUIT 1,branch_108_495_1,branch,L_000108SPARTANBURG60-000495SPARTANBURG10C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS    108 TO BUS    495 CIRCUIT 1
OPEN BRANCH FROM BUS    110 TO BUS    316 CIRCUIT 1,branch_110_316_1,branch,L_000110GAFFNEY20-000316HICKORYGROVE0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS    110 TO BUS    316 CIRCUIT 1
OPEN BRANCH FROM BUS    112 TO BUS     33 CIRCUIT 1,branch_112_33_1,branch,L_000112LEESVILLE0-000033PROSPERITY0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS    112 TO BUS     33 CIRCUIT 1
OPEN BRANCH FROM BUS    112 TO BUS    236 CIRCUIT 1,branch_112_236_1,branch,L_000112LEESVILLE0-000236WARD1C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS    112 TO BUS    236 CIRCUIT 1
OPEN BRANCH FROM BUS    112 TO BUS    283 CIRCUIT 1,branch_112_283_1,branch,L_000112LEESVILLE0-000283SALUDA0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS    112 TO BUS    283 CIRCUIT 1
OPEN BRANCH FROM BUS    112 TO BUS    499 CIRCUIT 1,branch_112_499_1,branch,L_000112LEESVILLE0-000499LEXINGTON10C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS    112 TO BUS    499 CIRCUIT 1
OPEN BRANCH FROM BUS    114 TO BUS    191 CIRCUIT 1,branch_114_191_1,branch,L_000114LANGLEY0-000191TRENTON0C1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:OPEN BRANCH FROM BUS    114 TO BUS    191 CIRCUIT 1
