response_path,request_path,job_id,response_mode,nonzero_coefficient_count,maximum_nonzero_coefficient,minimum_nonzero_coefficient,coefficient_dynamic_range
results/phase3/cmpo_v2/qci/pglib_case30_ieee__storm_forced_islanding_BUS30_MG__from__storm_forced_islanding_BUS1_MG-BUS2_MG-BUS30_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case30_ieee__storm_forced_islanding_BUS30_MG__from__storm_forced_islanding_BUS1_MG-BUS2_MG-BUS30_MG/repeat_000/request.json,6a58752f08442f441bbb192d,normalized_continuous_qudit,449,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_000/request.json,6a58ebeb08442f441bbb1b3d,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_000/request.json,6a58792208442f441bbb1937,normalized_continuous_qudit,449,25000.0,1.9e-06,13157894736.842106
results/phase3/cmpo_v2/qci/pglib_case30_ieee__storm_forced_islanding_BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case30_ieee__storm_forced_islanding_BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_000/request.json,6a58792408442f441bbb1938,normalized_continuous_qudit,449,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case5_pjm__demand_surge_BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case5_pjm__demand_surge_BUS1_MG-BUS2_MG/repeat_000/request.json,6a58792508442f441bbb1939,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_000/request.json,6a58792508442f441bbb193a,normalized_continuous_qudit,874,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2/qci/pglib_case5_pjm__normal_BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case5_pjm__normal_BUS1_MG-BUS2_MG/repeat_000/request.json,6a587d1408442f441bbb193d,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case5_pjm__normal_BUS3_MG-BUS4_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case5_pjm__normal_BUS3_MG-BUS4_MG/repeat_000/request.json,6a587d1508442f441bbb193e,normalized_continuous_qudit,874,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2/qci/pglib_case5_pjm__pcc_failure_BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case5_pjm__pcc_failure_BUS1_MG-BUS2_MG/repeat_000/request.json,6a5880e808442f441bbb1941,normalized_continuous_qudit,886,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_000/request.json,6a5880e908442f441bbb1943,normalized_continuous_qudit,874,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2/qci/pglib_case5_pjm__renewable_shortfall_BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case5_pjm__renewable_shortfall_BUS1_MG-BUS2_MG/repeat_000/request.json,6a5880e908442f441bbb1944,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case5_pjm__renewable_shortfall_BUS3_MG-BUS4_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case5_pjm__renewable_shortfall_BUS3_MG-BUS4_MG/repeat_000/request.json,6a5880eb08442f441bbb1945,normalized_continuous_qudit,874,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a580c4608442f441bbb17d3,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_001/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_001/request.json,6a580c4708442f441bbb17d9,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_002/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_002/request.json,6a580d1a08442f441bbb17e4,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_003/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_003/request.json,6a580d1b08442f441bbb17e9,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_004/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_004/request.json,6a580d1b08442f441bbb17ec,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_005/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_005/request.json,6a580d6908442f441bbb17f2,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_006/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_006/request.json,6a580e3208442f441bbb17fa,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_007/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_007/request.json,6a580e8f08442f441bbb17ff,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_008/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_008/request.json,6a580ebe08442f441bbb1801,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_009/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG/repeat_009/request.json,6a580f1b08442f441bbb1807,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a580c4608442f441bbb17d4,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_001/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_001/request.json,6a580c4708442f441bbb17d8,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_002/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_002/request.json,6a580d1a08442f441bbb17e1,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_003/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_003/request.json,6a580d1b08442f441bbb17e7,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_004/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_004/request.json,6a580d2b08442f441bbb17ee,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_005/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_005/request.json,6a580d5a08442f441bbb17f1,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_006/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_006/request.json,6a580e0408442f441bbb17f8,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_007/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_007/request.json,6a580e7108442f441bbb17fd,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_008/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_008/request.json,6a580ede08442f441bbb1803,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_009/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case14_ieee__storm_forced_islanding_BUS3_MG-BUS4_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG/repeat_009/request.json,6a580f0d08442f441bbb1806,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_000/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_000/request.json,6a580c4608442f441bbb17d0,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_001/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_001/request.json,6a580c4608442f441bbb17d5,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_002/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_002/request.json,6a580cd008442f441bbb17dd,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_003/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_003/request.json,6a580d1a08442f441bbb17e0,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_004/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_004/request.json,6a580d1b08442f441bbb17e6,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_005/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_005/request.json,6a580d2b08442f441bbb17ed,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_006/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_006/request.json,6a580dc508442f441bbb17f4,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_007/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_007/request.json,6a580df508442f441bbb17f7,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_008/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_008/request.json,6a580e6108442f441bbb17fc,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_009/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__demand_surge_BUS5_MG-BUS7_MG__from__demand_surge_BUS2_MG-BUS5_MG-BUS7_MG/repeat_009/request.json,6a580ece08442f441bbb1802,normalized_continuous_qudit,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_000/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_000/request.json,6a580c4608442f441bbb17d1,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_001/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_001/request.json,6a580c4608442f441bbb17d6,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_002/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_002/request.json,6a580cdf08442f441bbb17de,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_003/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_003/request.json,6a580d1a08442f441bbb17e5,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_004/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_004/request.json,6a580d1b08442f441bbb17eb,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_005/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_005/request.json,6a580d3a08442f441bbb17ef,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_006/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_006/request.json,6a580dd508442f441bbb17f5,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_007/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_007/request.json,6a580e5108442f441bbb17fb,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_008/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_008/request.json,6a580eae08442f441bbb1800,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_009/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case30_ieee__storm_forced_islanding_BUS5_MG-BUS7_MG__from__storm_forced_islanding_BUS2_MG-BUS5_MG-BUS7_MG/repeat_009/request.json,6a580eed08442f441bbb1804,normalized_continuous_qudit,898,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_000/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_000/request.json,6a580c4608442f441bbb17d2,normalized_continuous_qudit,874,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_001/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_001/request.json,6a580c4608442f441bbb17d7,normalized_continuous_qudit,874,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_002/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_002/request.json,6a580cef08442f441bbb17df,normalized_continuous_qudit,874,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_003/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_003/request.json,6a580d1a08442f441bbb17e2,normalized_continuous_qudit,874,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_004/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_004/request.json,6a580d1b08442f441bbb17e8,normalized_continuous_qudit,874,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_005/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_005/request.json,6a580d4a08442f441bbb17f0,normalized_continuous_qudit,874,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_006/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_006/request.json,6a580de408442f441bbb17f6,normalized_continuous_qudit,874,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_007/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG/repeat_007/request.json,6a580e1308442f441bbb17f9,normalized_continuous_qudit,874,25000.0,1.74e-06,14367816091.954023
